AdditionalInfo,Name,Amount,PrintSize,PrintResolutionY,PrintResolutionX,Description,Weight,PagePerMinute,Brand,PrintingTechnology,FunctionType,Price,Size
"Частота процессора: 525 МГц  
Память: 1 ГБ  

","
Canon i-SENSYS LBP252dw with Wi-Fi (0281C007) ",13,A4,1200,1200,"Гибкий черно-белый лазерный принтер формата A4 с компактными габаритами для
предприятий малого бизнеса и рабочих групп. Этот компактный и надежный черно-
белый лазерный принтер формата A4 поддерживает Adobe PostScript для быстрого
получения высококачественных результатов, плюс большой выбор возможностей
подключения и использования облачных сервисов для современных мобильных
устройств.

 **Начните работу с высококачественным принтером для рабочих групп**  
Предприятия малого бизнеса и рабочие группы могут легко достичь превосходных
результатов с этим хорошо оборудованным черно-белым лазерным принтером формата
A4. Компактный размер и элегантный внешний вид принтера **i-SENSYS LBP252dw**
идеально подходят для помещений, где ведется работа с клиентами, или для
офисов с большими объемами работы. Можно выполнять ежедневные задачи быстрее
за счет высокой скорости печати 33 стр/мин и возможности начать печать после
бездействия или режима ожидания всего за несколько секунд.

 **Неизменное качество, удобство эксплуатации**  
Высокая надежность и стабильное качество обеспечиваются при каждой замене
тонера, благодаря конструкции легко заменяемых картриджей Canon Все в одном.
Хотите, чтобы принтер работал дольше при минимальном вмешательстве? Выберите
картриджи с увеличенным ресурсом. Более того, поскольку необходимо заказывать
и отслеживать всего один картридж, нагрузка на администратора будет уменьшена.

 **Великолепная поддержка мобильной и облачной печати**  
Вам и вашей команде требуется возможность легкого перемещения между местами
работы и устройствами? Тогда **LBP252dw** идеально подойдет вам. Независимо от
того, где и как вы предпочитаете работать, принтер **LBP252dw** всегда
доступен и готов к работе. Печатайте с устройств iPhone или iPad через Apple
AirPrint, или с устройств Android с помощью сервиса Виртуальный принтер
Google, независимо от того, где вы находитесь — в офисе или за его пределами.

 **Защита вашей информации и конечного результата**  
Обеспокоены конфиденциальностью документов в офисе? Оцените удобство работы с
функцией безопасной печати, которая позволяет защищать печать частных и
конфиденциальных документов с помощью PIN-кода. **LBP252dw** также повышает
вашу прибыльность, за счет таких функций, как двусторонняя печать, которая
уменьшает расход бумаги, и режим автоматического выключения, который снижает
энергопотребление, когда принтер не используется.

 **Готов к работе в сети и интеграции, со встроенным Wi-Fi**  
 **LBP252dw** предлагает комплексные возможности удобной интеграции с ИТ-
сетями. Поддержка PCL5e/6 и Adobe PostScript делает его идеальным выбором для
управляемых сред; а удаленный пользовательский интерфейс экономит ценное
время, поскольку менеджеры ИТ могут контролировать и обновлять настройки, не
посещая предприятия. Благодаря возможности подключения Wi-Fi и Ethernet в
стандартной комплектации, **LBP252dw** обладает всеми функциями, которые нужны
вам, чтобы идти в ногу с растущим бизнесом.

",12.4,33.0,Canon,Лазерная печать (ч/б),Принтеры,7177,400 x 377 x 298
"Быстродействие процессора: 800 МГц  
Память: 256 Мбайт  
Скорость копирования: до 18 копий/мин  
Скорость сканирования: до 21 стр./мин. в черно-белом режиме, до 14 стр./мин. в
цветном режиме

","
HP Color LaserJet Pro Color M274n (M6D61A) ",1,A4,600,600,"**Повысьте эффективность работы**

Печатайте высококачественные цветные документы, способные ускорить развитие
вашего бизнеса, прямо в офисе. Это самое компактное МФУ в своем классе. Оно
может очень быстро выходить из спящего режима по сравнению с другими
устройствами. Сенсорный экран диагональю 7.6 см позволяет быстро находить
необходимые приложения и выполнять сканирование непосредственно в электронную
почту или облачное хранилище. Отправляйте на печать документы Microsoft Word и
PowerPoint прямо с USB-накопителя.

 **Будьте на связи**

Для отправки заданий печати с большинства смартфонов и планшетов никакой
настройки и установки приложений не требуется. Встроенный интерфейс 10/100
Base-TX для подключения к сети Fast Ethernet обеспечивает совместное
использование МФУ и ресурсов.

 **Больше страниц. Выше производительность. Лучше защита**

Повысьте ресурс печати с помощью Оригинальных цветных лазерных картриджей HP
увеличенной емкости и технологии JetIntelligence. Оригинальный тонер HP
ColorSphere 3, разработанный специально для принтеров HP, гарантирует
профессиональное качество и высокую скорость печати. Технология защиты от
злоумышленников — гарантия знаменитого качества HP. Устройство поставляется
полностью готовым к работе с предварительно установленными лазерными
картриджами. При необходимости их можно заменить на специальные картриджи
увеличенной емкости.

 **Будьте готовы к любым сложностям в сфере ИТ**

Защищайте данные и управляйте устройствами с помощью пакета, в который входят
ключевые средства для обеспечения безопасности и контроля. Встроенный сетевой
интерфейс Ethernet обеспечивает удобство настройки, печати и обмена файлами.
Решение HP JetAdvantage Private Print обеспечивает надежную защиту, позволяя
контролировать рабочие процессы и избегать лишних расходов.

",17.5,18.0,HP,Лазерная печать (цветная),МФУ,7909,420 x 384 x 322
"Технологии разрешения при печати: ImageRET 3600  
Нагрузка (в месяц, формат A4): До 40000 страниц  
Быстродействие процессора: 800 МГц  
Объем памяти: 128 Мбайт памяти DDR, 128 Мбайт флеш-памяти NAND  
Лоток подачи на 250 листов  
Лоток приема на 100 листов  

","
HP Color LaserJet Pro M254nw (T6B59A) ",7,A4,600,600,"Впечатляющее качество и увеличенная эффективность цветной печати. Высокая
скорость печати и лучшее в своем классе время вывода первой страницы (FPOT),
которым отличаются устройства HP. Интуитивно понятные функции безопасности,
невероятное качество цветных изображений и удобные возможности печати с
мобильных устройств.

 **Повышение эффективности благодаря быстрой цветной печати**

  * Оцените лучшие в своем классе скорость двусторонней печати и время вывода первой страницы (FPOT), которыми отличаются устройства HP.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off. Защитите данные, устройства и документы.
  * Не отвлекайтесь от работы и реже загружайте бумагу благодаря лотку емкостью 250 листов.
  * Быстрая и удобная печать непосредственно с панели управления.
  * Автоматическая печать двусторонних документов. Быстрая печать презентаций и других деловых документов при одновременной экономии бумаги.

  

 **Больше страниц. Выше производительность. Лучше защита**

  * Оригинальные лазерные картриджи HP с технологией JetIntelligence обеспечивают высокое качество цветной печати и отличаются увеличенным ресурсом.
  * Технология защиты от подделок позволяет сохранить знаменитое высочайшее качество HP.
  * Тратьте меньше времени на замену картриджей при использовании дополнительных картриджей увеличенной емкости.
  * Предварительно установленные оригинальные лазерные картриджи HP позволяют приступить к печати без дополнительной настройки.

  

 **Удобная печать и сканирование с мобильных устройств с помощью приложения HP
Smart**

  * Печать и сканирование со смартфона, а также удобный заказ картриджей с помощью приложения HP Smart.
  * Надежное и быстрое подключение благодаря двухдиапазонному адаптеру Wi-Fi.
  * Подключите смартфон или планшет напрямую к принтеру для удобной печати без подключения к сети.
  * Чтобы выполнить печать, просто коснитесь кнопки печати на смартфоне или планшете.

",13.8,21.0,HP,Лазерная печать (цветная),Принтеры,5810,392 x 385.8 x 247.5
"Технологии разрешения при печати: ImageRET 3600  
Нагрузка (в месяц, формат A4): До 40000 страниц  
Быстродействие процессора: 800 МГц  
Объем памяти: 256 Мбайт памяти DDR, 256 Мбайт флеш-памяти NAND  
Лоток подачи на 250 листов  
Лоток приема на 100 листов  

","
HP Color LaserJet Pro M254dw (T6B60A) ",8,A4,600,600,"Впечатляющее качество и увеличенная эффективность цветной печати. Высокая
скорость печати и лучшее в своем классе время вывода первой страницы (FPOT),
которым отличаются устройства HP. Интуитивно понятные функции безопасности,
невероятное качество цветных изображений и удобные возможности печати с
мобильных устройств.

 **Повышение эффективности благодаря быстрой цветной печати**

  * Оцените лучшие в своем классе скорость двусторонней печати и время вывода первой страницы (FPOT), которыми отличаются устройства HP.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off. Защитите данные, устройства и документы.
  * Не отвлекайтесь от работы и реже загружайте бумагу благодаря лотку емкостью 250 листов.
  * Быстрая и удобная печать непосредственно с панели управления.
  * Автоматическая печать двусторонних документов. Быстрая печать презентаций и других деловых документов при одновременной экономии бумаги.

  

 **Больше страниц. Выше производительность. Лучше защита**

  * Оригинальные лазерные картриджи HP с технологией JetIntelligence обеспечивают высокое качество цветной печати и отличаются увеличенным ресурсом.
  * Технология защиты от подделок позволяет сохранить знаменитое высочайшее качество HP.
  * Тратьте меньше времени на замену картриджей при использовании дополнительных картриджей увеличенной емкости.
  * Предварительно установленные оригинальные лазерные картриджи HP позволяют приступить к печати без дополнительной настройки.

  

 **Удобная печать и сканирование с мобильных устройств с помощью приложения HP
Smart**

  * Печать и сканирование со смартфона, а также удобный заказ картриджей с помощью приложения HP Smart.
  * Надежное и быстрое подключение благодаря двухдиапазонному адаптеру Wi-Fi.
  * Подключите смартфон или планшет напрямую к принтеру для удобной печати без подключения к сети.
  * Чтобы выполнить печать, просто коснитесь кнопки печати на смартфоне или планшете.

",14.8,22.0,HP,Лазерная печать (цветная),Принтеры,6752,392 x 419 x 247.5
"Технологии разрешения при печати: ImageRET 3600  
Нагрузка (в месяц, формат A4): До 40000 страниц  
Быстродействие процессора: 800 МГц  
Объем памяти: 256 Мбайт памяти DDR, 256 Мбайт флеш-памяти NAND  
Лоток подачи на 250 листов  
Лоток приема на 100 листов  
  
**Сканер:**  
Тип сканера: Планшетный, с устройством автоматической подачи документов (АПД)  
Формат файла сканирования: JPG, RAW (BMP), PNG, TIFF, PDF  
Разрешение при сканировании, оптическое: до 300 dpi (цветной и монохромный
режимы, АПД); до 1200 dpi (планшетный сканер)  
Размер сканирования, максимальный: 215.9 x 297 мм  
Максимальный размер области сканирования (ADF): 215.9 x 355.6 мм  
Минимальный размер области сканирования (устройство автоматической подачи
документов): 102 x 152 мм  
Скорость сканирования (обычный режим, формат A4): до 26 стр./мин  
  
**Копир:**  
Скорость копирования: до 21 копий/мин  
Разрешение при копировании: до 600 х 600 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: до 99 копий  

","
HP Color LaserJet Pro M280nw (T6B80A) ",6,A4,600,600,"Высокое качество цветной печати и повышенная производительность. Лучшие в
своем классе скорость двусторонней печати и время вывода первой страницы
(FPOT), которыми отличаются устройства HP. Сканируйте и копируйте документы.
Интуитивно понятные функции безопасности и удобные возможности печати с
мобильных устройств.

 **Повысьте производительность благодаря цветному многофункциональному
устройству**

  * Оцените лучшие в своем классе скорость двусторонней печати и время вывода первой страницы (FPOT), которыми отличаются устройства HP.
  * Оцените преимущества автоматической двусторонней печати и быстро выполняйте разные задачи с помощью устройства автоматической подачи документов на 50 листов.
  * Сканируйте и сразу отправляйте полученные файлы по электронной почте, в сетевые папки или т. п. Защитите данные, устройства и документы.
  * Простое управление заданиями на устройстве с помощью интуитивно понятного сенсорного экрана. Печатайте документы непосредственно с накопителя USB.
  * Высокопроизводительное устройство для печати, сканирования, копирования и факсимильной связи.

  

 **Больше страниц. Выше производительность. Лучше защита**

  * Оригинальные лазерные картриджи HP с технологией JetIntelligence обеспечивают высокое качество цветной печати и отличаются увеличенным ресурсом.
  * Технология защиты от подделок позволяет сохранить знаменитое высочайшее качество HP.
  * Тратьте меньше времени на замену картриджей при использовании дополнительных картриджей увеличенной емкости.
  * Предварительно установленные оригинальные лазерные картриджи HP позволяют приступить к печати сразу после получения устройства.

  

 **Удобная печать и сканирование с мобильных устройств с помощью приложения HP
Smart**

  * Печать и сканирование со смартфона, а также удобный заказ картриджа с помощью приложения HP Smart.
  * Надежное и быстрое подключение благодаря двухдиапазонному адаптеру Wi-Fi.
  * Подключите смартфон или планшет напрямую к принтеру и выполняйте печать без подключения к сети.
  * Чтобы выполнить печать, просто коснитесь кнопки печати на смартфоне или планшете.

",18.0,21.0,HP,Лазерная печать (цветная),МФУ,9657,420 x 388.6 x 334.1
"Технологии разрешения при печати: ImageRET 3600  
Нагрузка (в месяц, формат A4): До 30000 страниц  
Быстродействие процессора: 800 МГц  
Объем памяти: 256 Мбайт памяти DDR, 128 Мбайт флеш-памяти  
Лоток подачи на 150 листов  
Лоток приема на 100 листов  
  
**Сканер:**  
Тип сканера: Планшетный  
Формат файла сканирования: JPG, RAW (BMP), PNG, TIFF, PDF  
Разрешение при сканировании: до 1200 dpi  
Скорость сканирования (обычный режим, формат A4): до 14 стр./мин  
  
**Копир:**  
Скорость копирования: до 16 копий/мин  
Разрешение при копировании: до 600 х 600 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: до 99 копий  

","
HP Color LaserJet Pro M180n (T6B70A) ",2,A4,600,600,"Яркие насыщенные цвета, оптимизированные универсальные функции, простая печать
с мобильных устройств и высокая скорость печати для повышения эффективности
работы — все это по выгодной цене.

 **Широкие возможности цветного МФУ**

  * Высокая скорость печати и быстрый вывод первой страницы.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off.
  * Быстрая и удобная печать непосредственно с панели управления.
  * Реже загружайте бумагу благодаря лотку емкостью 150 листов.

  

 **Больше производительность. Лучше защита.**

  * Оригинальные лазерные картриджи HP с технологией JetIntelligence обеспечивают высокое качество цветной печати и отличаются увеличенным ресурсом.
  * Технология защиты от подделок позволяет сохранить знаменитое высочайшее качество HP.
  * Предварительно установленные оригинальные лазерные картриджи HP позволяют приступить к печати сразу после получения устройства.

  

 **Удобная печать и сканирование с мобильных устройств с помощью приложения HP
Smart**

  * Печать, сканирование и удобный заказ картриджей со смартфона с помощью приложения HP Smart.
  * Чтобы выполнить печать, просто коснитесь кнопки печати на смартфоне или планшете.
  * С легкостью отправляйте задания на печать практически с любого смартфона или планшета.
  * Простое совместное использование ресурсов — получайте доступ и печатайте с помощью сети Ethernet.

  

",15.7,16.0,HP,Лазерная печать (цветная),МФУ,6940,420 x 380 x 292.6
"Технологии разрешения при печати: ImageRET 3600  
Нагрузка (в месяц, формат A4): До 30000 страниц  
Быстродействие процессора: 800 МГц  
Объем памяти: 256 Мбайт памяти DDR, 128 Мбайт флеш-памяти  
Лоток подачи на 150 листов  
Лоток приема на 100 листов  
  
**Сканер:**  
Тип сканера: Планшетный, с устройством автоматической подачи документов (АПД)  
Формат файла сканирования: JPG, RAW (BMP), PNG, TIFF, PDF  
Разрешение при сканировании: до 300 т/д (цветной и монохромный режимы, АПД);
до 1200 т/д (цветной и монохромный режимы, планшетный сканер)  
Размер сканирования, максимальный: 215.9 x 297 мм  
Максимальный размер области сканирования (ADF): 215.9–355.6 мм  
Минимальный размер области сканирования (устройство автоматической подачи
документов): 148.5 x 210 мм  
Скорость сканирования (обычный режим, формат A4): до 14 стр./мин  
  
**Копир:**  
Скорость копирования: до 16 копий/мин  
Разрешение при копировании: до 600 х 600 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: до 99 копий  

","
HP Color LaserJet Pro M181fw (T6B71A) ",5,A4,600,600,"Яркие насыщенные цвета, универсальные функции с поддержкой беспроводного
подключения, простая печать с мобильных устройств и высокая скорость печати
для повышения эффективности работы — все это по выгодной цене.

 **Широкие возможности цветного МФУ**

  * Высокая скорость печати и быстрый вывод первой страницы.
  * Устройство автоматической подачи документов облегчает печать, сканирование, копирование и отправку факсов
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off.
  * Быстрая и удобная печать непосредственно с панели управления.

  

 **Больше производительность. Лучше защита.**

  * Оригинальные лазерные картриджи HP с технологией JetIntelligence обеспечивают высокое качество цветной печати и отличаются увеличенным ресурсом.
  * Технология защиты от подделок позволяет сохранить знаменитое высочайшее качество HP.
  * Предварительно установленные оригинальные лазерные картриджи HP позволяют приступить к печати сразу после получения устройства.

  

 **Удобная печать и сканирование с мобильных устройств с помощью приложения HP
Smart**

  * Печать, сканирование и удобный заказ картриджей со смартфона с помощью приложения HP Smart.
  * Надежное и быстрое подключение благодаря двухдиапазонному адаптеру Wi-Fi.
  * Подключите смартфон или планшет напрямую к принтеру для удобной печати без подключения к сети.
  * Чтобы выполнить печать, просто коснитесь кнопки печати на смартфоне или планшете.

  

",16.3,16.0,HP,Лазерная печать (цветная),МФУ,9119,435 x 435 x 343
"Технологии разрешения при печати: HP FastRes 1200, HP ProRes 1200  
Нагрузка (в месяц, формат A4): До 40000 страниц  
Быстродействие процессора: 800 МГц  
Объем памяти: 256 Мбайт  
Лоток подачи на 250 листов  
Лоток приема на 150 листов  
  
**Сканер:**  
Тип сканера: Устройство АПД, планшетный сканер  
Формат файла сканирования: JPG, RAW (BMP), PNG, TIFF, PDF  
Разрешение при сканировании, оптическое: до 300 т/д (цветной и монохромный
режимы, АПД); до 1200 т/д (цветной и монохромный режимы, планшетный сканер)  
Размер сканирования, максимальный: 215.9 x 297 мм  
Максимальный размер области сканирования (ADF): 215.9 x 355.6 мм  
Минимальный размер области сканирования (устройство автоматической подачи
документов): 148.5 x 210 мм  
Скорость сканирования (обычный режим, формат A4): до 12 стр./мин  
  
**Копир:**  
Скорость копирования: до 28 копий/мин  
Разрешение при копировании: до 600 х 600 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: до 99 копий  

","
HP LaserJet Pro M227fdn (G3Q79A) ",12,A4,1200,1200,"МФУ **HP LaserJet Pro** с картриджами JetIntelligence обеспечат более высокий
уровень производительности и защиты. Задайте новые стандарты скорости для
вашего бизнеса. Выполняйте быструю двустороннюю печать, сканирование,
копирование и пересылку документов по факсу с простым управлением для
повышения эффективности.

 **Высокие скорости, низкое энергопотребление**

  * Выполняйте печать, сканирование, копирование и отправку документов по факсу с помощью компактного многофункционального лазерного принтера, который занимает совсем немного места.
  * Печатайте, не снижая темпа вашего бизнеса — это МФУ оснащено модулем быстрой двусторонней печати.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off.
  * Управляйте заданиями напрямую на принтере. Для удобства он оснащен двухстрочным ЖК-дисплеем.

  

 **Мобильная печать без проблем**

  * Печать с iPhone и iPad с помощью технологии AirPrint с автоматическим подбором масштаба в зависимости от выбранного формата бумаги.
  * Технология Google Cloud Print 2.0 позволяет отправлять задания на печать со смартфона, планшета или компьютера на любой принтер вашей компании.
  * С помощью функции HP ePrint можно выполнять печать непосредственно со смартфонов, планшетов и ноутбуков. Это так же легко, как отправлять сообщения по электронной почте.

  

 **Управляйте печатью в масштабах компании легко и уверенно**

  * HP Web Jetadmin предоставляет простые инструменты контроля, управления и мониторинга всего процесса печати.
  * Дополнительное ПО HP JetAdvantage Security Manager — это основанная на политиках защита всего парка устройств.

  

 **Неизменно высокое качество печати HP**

  * Черный тонер обеспечивает высокую контрастность черно-белых текстов, шрифтов и графических изображений.
  * Теперь вас не обманут картриджи, имитирующие оригинальные картриджи HP. Будьте уверены, что получаете то качество, за которое вы заплатили.
  * С дополнительными оригинальными лазерными картриджами HP увеличенной емкости объем печати возрастет более чем в 2 раза.
  * Повышение окупаемости инвестиций благодаря технологии, которая отслеживает уровень тонера для увеличения ресурса картриджа.

  

",9.4,28.0,HP,Лазерная печать (ч/б),МФУ,7640,403 x 407.4 x 311.5
"Нагрузка (в месяц, формат A4): До 30000 страниц  
Быстродействие процессора: 1.2 ГГц  
Объем памяти: 512 Мбайт  
Входной лоток на 250 листов  
Приемный лоток на 75 листов  
  
**Сканер:**  
Тип сканера: Планшетный, с устройством автоматической подачи документов (АПД)  
Формат файла сканирования: растровые изображения (BMP), JPEG (JPG), PDF, PNG,
Rich Text (RTF), PDF с возможностью поиска (PD), текст (TXT), TIFF (TIF)  
Разрешение при сканировании, оптическое, до 1200 dpi  
Размер сканирования, максимальный: 297 x 432 мм  
Максимальный размер области сканирования (ADF): 215.9 x 355.6 мм  
Скорость сканирования (обычный режим, формат A4): Односторонний режим: до 8
изображений в минуту в черно-белом режиме, до 6 изображений в минуту в цветном
режиме, двусторонний режим: до 14 изображений в минуту в черно-белом режиме,
до 11 изображений в минуту в цветном режиме  
  
**Копир:**  
Скорость копирования: Черно-белая: До 33 копий/мин, Цветная: До 31 копии/мин  
Разрешение при копировании: до 600 х 600 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: до 99 копий  

","
HP OfficeJet Pro 7740 Wide Format (G5J38A) ",16,A3,4800,1200,"Выполняйте цветную печать, сканирование и копирование профессионального
качества в формате A3, которые обойдутся вам в два раза дешевле по сравнению с
лазерными принтерами. Отправляйте факсы размером до 21.6 x 35.6 см.

Принтер с поддержкой динамической безопасности. Предназначен для использования
только с картриджами, снабженными оригинальной микросхемой HP. Картриджи с
микросхемами других производителей могут не работать, а работающие в настоящее
время могут не работать в будущем.

 **Эффективная печать в формате A3**

  * Модуль автоматической двусторонней печати, высокая скорость работы и устройство автоматической подачи документов облегчат выполнение повседневных задач.
  * Устройство АПД вмещает 35 страниц размером 21.6 x 35.6 см, обеспечивая высокую скорость печати в двустороннем режиме.
  * МФУ оснащено сенсорным экраном с привычным всем управлением и профилями часто используемых задач, которые помогут сэкономить время.
  * Увеличьте объем печати до 500 страниц, добавив дополнительный лоток на 250 листов (идет в комплекте).

  

 **Создавайте профессиональные презентации. При низких затратах.**

  * Создавайте материалы с яркими цветными изображениями и насыщенным черным текстом на различных форматах бумаги: от A4 до Tabloid (A3).
  * Выполняйте печать документов, устойчивых к воздействию влаги, смазыванию, выцветанию и выделению маркером.
  * Дополнительные оригинальные картриджи HP увеличенной емкости позволяют увеличить объем черно-белой и цветной печати.
  * Выделитесь на фоне конкурентов благодаря возможностям двусторонней печати маркетинговых материалов без полей.

  

 **Простая мобильная печать**

  * Печатайте документы и выполняйте другие задачи со смартфонов и планшетов Apple, Android и Windows.
  * Благодаря функциям беспроводной связи любой сотрудник в офисе может выполнить печать на этом МФУ со своего мобильного устройства.
  * Приложение HP All-in-One Printer Remote позволяет с легкостью управлять заданиями печати и выполнять сканирование с помощью мобильных устройств.
  * Для защиты информации и контроля доступа к конфиденциальным заданиям печати используйте HP JetAdvantage Private Print.

  

",19.5,22.0,HP,Струйная печать,МФУ,6402,584 x 466.9 x 383.3
"Нагрузка (в месяц, формат A4): До 30000 страниц  
Объем памяти: 512 Мбайт  
Входной лоток на 250 листов  
Приемный лоток на 75 листов  
  
**Сканер:**  
Тип сканера: Планшетный, с устройством автоматической подачи документов (АПД)  
Формат файла сканирования: JPEG, TIFF, PDF, BMP, PNG  
Разрешение при сканировании, оптическое, до 1200 dpi  
Размер сканирования, максимальный: 216 x 356 мм  
Максимальный размер области сканирования (ADF): 216 x 356 мм  
Скорость сканирования (обычный режим, формат A4): Односторонний режим: до 8
изображений в минуту в черно-белом и цветном режиме  
  
**Копир:**  
Скорость копирования: до 34 копий/мин  
Разрешение при копировании: до 600 х 600 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: до 99 копий  

","
HP OfficeJet Pro 7720 Wide Format (Y0S18A) ",18,A3,4800,1200,"Удобная печать на бумаге различных размеров до 29.7 x 42 см (A3). Печатайте
цветные документы профессионального качества на принтере бизнес-класса со
стоимостью одной страницы на 50% меньше по сравнению с лазерными принтерами.

 **Большой формат. Большие возможности.**

  * Печать документов размером до 29.7 x 42 см (A3). Сканирование и копирование документов формата до Legal.
  * HP OfficeJet Pro 7720 принадлежит тому же семейству продуктов, что и устройство HP OfficeJet Pro 7740, которое является победителем престижного конкурса iF Design Award 2017.
  * Устройство автоматической подачи документов на 35 листов облегчает работу и обеспечивает автоматическую печать двусторонних документов.
  * Управление печатью, сканированием, копированием и факсимильной связью с помощью сенсорного экрана и удобных кнопок быстрого доступа.

  

 **Создавайте профессиональные презентации. При низких затратах.**

  * Печатайте в три раза больше черного текста и в два раза больше цветных страниц при использовании дополнительных струйных картриджей HP увеличенной емкости.
  * Этот принтер позволяет получать яркие цветные изображения и контрастный черный текст, идеально подходящие для брошюр, презентаций и других офисных документов.
  * Создавайте документы, устойчивые к воздействию влаги, смазыванию, выцветанию и выделению маркером.
  * Создавайте брошюры без полей, листовки, фотографии и другие документы в высоком качестве — прямо в офисе.

  

 **Удобная мобильная печать с помощью приложения HP Smart**

  * Простая печать практически с любого смартфона или планшета.
  * Подключите смартфон или планшет напрямую к принтеру и выполняйте печать без подключения к сети.
  * Доступ с мобильного устройства ко всем возможностям вашего принтера с помощью приложения HP Smart.
  * Чтобы выполнить печать, просто коснитесь кнопки печати на смартфоне или планшете.

  

",15.5,22.0,HP,Струйная печать,МФУ,5111,584.9 x 444.8 x 306.4
